timestamp,decision,reason,p_intent,q_prob_good,q_score_pred,latency_ms
1773860269.505,REJECT,no_intent_detected,0.132633,0.127028,0.349154,2.325750
1773860270.383,RESTORE,intent_detected_quality_bad,0.975124,0.000001,0.311091,8.453750
1773860271.258,RESTORE,intent_detected_quality_bad,0.926812,0.000000,0.171318,6.219959
1773860272.134,RESTORE,intent_detected_quality_bad,0.940318,0.000000,0.203524,6.760750
1773860273.010,RESTORE,intent_detected_quality_bad,0.631071,0.000000,0.104604,6.815834
1773860273.884,RESTORE,intent_detected_quality_bad,0.851201,0.000000,0.149848,6.599750
1773860274.760,RESTORE,intent_detected_quality_bad,0.962460,0.000000,0.205778,5.850750
1773860275.631,RESTORE,intent_detected_quality_bad,0.966921,0.000000,0.264775,5.567459
1773860276.145,REJECT,no_intent_detected,0.161496,0.195036,0.410752,4.490209
1773860276.659,REJECT,no_intent_detected,0.119290,0.006895,0.186297,5.537334
1773860277.532,RESTORE,intent_detected_quality_bad,0.975495,0.000002,0.256522,5.991916
1773860278.406,RESTORE,intent_detected_quality_bad,0.977537,0.000000,0.219914,4.673916
1773860279.278,RESTORE,intent_detected_quality_bad,0.748355,0.000000,0.137503,5.829917
1773860280.149,RESTORE,intent_detected_quality_bad,0.730017,0.000000,0.091401,5.742125
1773860281.022,RESTORE,intent_detected_quality_bad,0.991309,0.000038,0.481755,5.822417
1773860281.899,RESTORE,intent_detected_quality_bad,0.926600,0.000000,0.157943,6.127250
1773860282.775,RESTORE,intent_detected_quality_bad,0.856608,0.000000,0.116246,5.958583
1773860283.649,RESTORE,intent_detected_quality_bad,0.883770,0.000000,0.163300,5.264292
1773860284.522,RESTORE,intent_detected_quality_bad,0.796046,0.000000,0.163341,3.942125
1773860285.035,REJECT,no_intent_detected,0.117389,0.065166,0.364980,4.463750
1773860285.909,RESTORE,intent_detected_quality_bad,0.978179,0.000000,0.312081,5.556125
1773860286.421,REJECT,no_intent_detected,0.153839,0.189666,0.382909,3.700000
1773860287.295,RESTORE,intent_detected_quality_bad,0.950333,0.000000,0.181939,4.486417
1773860288.164,RESTORE,intent_detected_quality_bad,0.978635,0.000000,0.203043,4.623917
1773860289.035,RESTORE,intent_detected_quality_bad,0.575389,0.000000,0.082806,4.876459
1773860289.549,REJECT,no_intent_detected,0.142804,0.131515,0.346965,4.151542
1773860290.058,REJECT,no_intent_detected,0.064659,0.000000,0.019969,4.661958
1773860290.933,RESTORE,intent_detected_quality_bad,0.975204,0.000000,0.240475,6.444666
1773860291.442,REJECT,no_intent_detected,0.132391,0.004436,0.173794,4.519292
1773860292.316,RESTORE,intent_detected_quality_bad,0.967300,0.000000,0.251637,5.749125
1773860293.191,RESTORE,intent_detected_quality_bad,0.556548,0.000000,0.121076,6.094333
1773860294.067,RESTORE,intent_detected_quality_bad,0.711412,0.000000,0.100086,7.027542
1773860294.943,RESTORE,intent_detected_quality_bad,0.926477,0.000000,0.172218,6.845208
1773860295.455,REJECT,no_intent_detected,0.096064,0.000007,0.043002,5.005792
1773860295.967,REJECT,no_intent_detected,0.126739,0.039690,0.278140,4.002792
1773860296.479,REJECT,no_intent_detected,0.104784,0.013971,0.218193,5.403958
1773860297.354,RESTORE,intent_detected_quality_bad,0.827238,0.000000,0.128773,5.604041
1773860297.865,REJECT,no_intent_detected,0.120512,0.063839,0.299025,4.894333
1773860298.737,RESTORE,intent_detected_quality_bad,0.891119,0.000000,0.132074,6.355750
1773860299.610,RESTORE,intent_detected_quality_bad,0.845141,0.000000,0.210673,5.207458
1773860300.486,RESTORE,intent_detected_quality_bad,0.930699,0.000000,0.190507,6.371333
1773860300.997,REJECT,no_intent_detected,0.127945,0.005846,0.201935,4.909292
1773860301.873,RESTORE,intent_detected_quality_bad,0.974531,0.000000,0.357114,6.551167
1773860302.749,RESTORE,intent_detected_quality_bad,0.898804,0.000000,0.122968,6.402500
1773860303.624,RESTORE,intent_detected_quality_bad,0.983339,0.000000,0.254396,5.715250
1773860304.495,RESTORE,intent_detected_quality_bad,0.818079,0.000000,0.152206,2.250959
1773860305.009,REJECT,no_intent_detected,0.083449,0.000435,0.104652,4.827333
1773860305.520,REJECT,no_intent_detected,0.093876,0.000449,0.106793,4.738375
1773860306.390,RESTORE,intent_detected_quality_bad,0.914667,0.000000,0.108122,4.949541
1773860307.261,RESTORE,intent_detected_quality_bad,0.968284,0.000000,0.230442,4.895875
