timestamp,idx,decision,reason,p_intent,q_prob_good,q_score_pred,latency_ms
1774028652.264,1,REJECT,no_intent_detected,0.316639,0.000033,0.109566,1.987709
1774028652.779,2,RESTORE,intent_detected_quality_bad,0.761599,0.052624,0.583210,8.416708
1774028653.292,3,RESTORE,intent_detected_quality_bad,0.632724,0.000014,0.171838,6.881958
1774028653.803,4,REJECT,no_intent_detected,0.167248,0.014988,0.218003,5.040083
1774028654.315,5,REJECT,no_intent_detected,0.142070,0.913133,0.776874,4.920083
1774028654.827,6,REJECT,no_intent_detected,0.283922,0.015648,0.517359,5.490959
1774028655.334,7,REJECT,no_intent_detected,0.016870,0.982980,0.848870,4.928750
1774028655.845,8,REJECT,no_intent_detected,0.040119,0.000000,0.112640,4.905208
1774028656.355,9,REJECT,no_intent_detected,0.010029,0.042887,0.566482,5.017708
1774028656.868,10,RESTORE,intent_detected_quality_bad,0.642410,0.000081,0.218923,6.974041
1774028657.379,11,RESTORE,intent_detected_quality_bad,0.785552,0.001255,0.369351,5.155542
1774028657.892,12,RESTORE,intent_detected_quality_bad,0.881523,0.007690,0.466483,5.888333
1774028658.405,13,RESTORE,intent_detected_quality_bad,0.538077,0.000070,0.148601,6.929750
1774028658.918,14,RESTORE,intent_detected_quality_bad,0.771575,0.227187,0.363447,7.078458
1774028659.430,15,REJECT,no_intent_detected,0.013137,0.956816,0.810658,5.193875
1774028659.939,16,REJECT,no_intent_detected,0.009189,0.000000,0.049041,5.394167
1774028660.452,17,REJECT,no_intent_detected,0.006123,0.002432,0.338221,4.876250
1774028660.960,18,RESTORE,intent_detected_quality_bad,0.794530,0.000453,0.306844,6.114334
1774028661.471,19,RESTORE,intent_detected_quality_bad,0.747630,0.003902,0.460689,6.088875
1774028661.983,20,RESTORE,intent_detected_quality_bad,0.678390,0.282330,0.839862,6.071167
1774028662.493,21,OK,signal_quality_good_enough,0.640980,0.974011,0.972666,4.934416
1774028663.000,22,OK,signal_quality_good_enough,0.765506,0.908106,0.910914,3.615083
1774028663.512,23,OK,signal_quality_good_enough,0.749903,0.957293,0.932817,5.736750
1774028664.020,24,OK,signal_quality_good_enough,0.765167,0.897298,0.910619,4.935291
1774028664.529,25,RESTORE,intent_detected_quality_bad,0.720838,0.128382,0.463355,7.032250
1774028665.042,26,REJECT,no_intent_detected,0.042757,0.000000,0.057091,4.757541
1774028665.554,27,REJECT,no_intent_detected,0.100304,0.934550,0.780205,5.117000
1774028666.065,28,REJECT,no_intent_detected,0.002641,0.000000,0.023411,5.324000
1774028666.575,29,REJECT,no_intent_detected,0.399128,0.061157,0.482395,5.421292
1774028667.086,30,REJECT,no_intent_detected,0.026660,0.000051,0.172593,4.841875
1774028667.598,31,REJECT,no_intent_detected,0.400399,0.271936,0.681378,4.919791
1774028668.111,32,RESTORE,intent_detected_quality_bad,0.855541,0.001125,0.372422,7.036375
1774028668.624,33,RESTORE,intent_detected_quality_bad,0.833879,0.023321,0.522927,6.927084
1774028669.132,34,OK,signal_quality_good_enough,0.788019,0.603321,0.858918,3.797292
