timestamp,idx,decision,reason,p_intent,q_prob_good,q_score_pred,latency_ms
1774463050.680,1,REJECT,no_intent_detected,0.258268,0.016994,0.470744,1.377375
1774463051.692,2,REJECT,no_intent_detected,0.427591,0.000012,0.320278,4.046708
1774463052.704,3,REJECT,no_intent_detected,0.067705,0.148620,0.503554,3.716750
1774463053.714,4,REJECT,no_intent_detected,0.245611,0.155207,0.511361,3.800833
1774463055.229,5,RESTORE,intent_detected_quality_bad,0.645992,0.000030,0.334267,6.459292
1774463056.238,6,REJECT,no_intent_detected,0.176999,0.167516,0.446570,2.968000
1774463057.253,7,REJECT,no_intent_detected,0.117615,0.079211,0.449625,3.791584
1774463058.265,8,REJECT,no_intent_detected,0.089504,0.073170,0.301801,3.623166
1774463059.272,9,REJECT,no_intent_detected,0.193882,0.029567,0.415560,2.088042
1774463060.286,10,REJECT,no_intent_detected,0.301614,0.016661,0.387433,3.087333
1774463061.298,11,REJECT,no_intent_detected,0.059385,0.004583,0.187017,1.895167
1774463062.309,12,REJECT,no_intent_detected,0.039458,0.000049,0.061569,5.297375
1774463063.320,13,REJECT,no_intent_detected,0.017825,0.000000,0.019388,3.785208
1774463064.331,14,REJECT,no_intent_detected,0.095231,0.000723,0.360184,4.599875
1774463065.343,15,REJECT,no_intent_detected,0.203098,0.318568,0.543922,3.222458
1774463066.357,16,REJECT,no_intent_detected,0.089422,0.016408,0.203035,4.129750
1774463067.381,17,REJECT,no_intent_detected,0.066400,0.001531,0.135963,11.630583
1774463068.907,18,RESTORE,intent_detected_quality_bad,0.522154,0.003857,0.372440,11.221500
1774463069.921,19,REJECT,no_intent_detected,0.291547,0.025792,0.394341,3.849125
1774463070.936,20,REJECT,no_intent_detected,0.195205,0.046872,0.424335,3.580167
1774463071.950,21,REJECT,no_intent_detected,0.449336,0.016179,0.410148,3.648500
1774463072.958,22,REJECT,no_intent_detected,0.337056,0.006004,0.395150,3.681042
1774463073.967,23,REJECT,no_intent_detected,0.169644,0.949520,0.806875,3.968209
1774463074.980,24,REJECT,no_intent_detected,0.266434,0.057848,0.371943,3.731333
1774463075.993,25,REJECT,no_intent_detected,0.190026,0.075545,0.432531,3.224500
1774463077.011,26,REJECT,no_intent_detected,0.213703,0.000000,0.158791,4.843000
1774463078.521,27,RESTORE,intent_detected_quality_bad,0.733752,0.000165,0.365520,4.095666
1774463079.531,28,REJECT,no_intent_detected,0.120409,0.020583,0.305845,3.938292
1774463080.551,29,REJECT,no_intent_detected,0.157286,0.013775,0.273952,2.760458
1774463081.567,30,REJECT,no_intent_detected,0.014525,0.000000,0.040150,4.204125
1774463082.586,31,REJECT,no_intent_detected,0.205106,0.096864,0.306649,8.356542
1774463083.618,32,REJECT,no_intent_detected,0.473379,0.024533,0.388457,23.752250
1774463084.634,33,REJECT,no_intent_detected,0.105644,0.032793,0.239115,5.011625
1774463085.665,34,REJECT,no_intent_detected,0.113893,0.035049,0.285568,12.003583
1774463086.691,35,REJECT,no_intent_detected,0.382786,0.010804,0.389469,10.550500
1774463087.701,36,REJECT,no_intent_detected,0.112110,0.018160,0.235369,4.467583
1774463088.708,37,REJECT,no_intent_detected,0.398771,0.042882,0.450698,3.997417
1774463089.718,38,REJECT,no_intent_detected,0.226583,0.344230,0.580644,3.399083
1774463091.230,39,RESTORE,intent_detected_quality_bad,0.668496,0.000019,0.330871,5.260667
1774463092.244,40,REJECT,no_intent_detected,0.409544,0.044890,0.280238,4.629208
